Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450071878;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;PARC MONCEAU;PARIS 8EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3063668233246637, 48.87906463820347], ""type"": ""Point""}";48.87906463820347, 2.3063668233246637
450072560;FONTAINE_BOIS;GHM Bois;;;SQUARE DE LA BUTTE DU CHAPEAU ROUGE;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3985900966496, 48.88186311134737], ""type"": ""Point""}";48.88186311134737, 2.3985900966496
450072561;FONTAINE_BOIS;GHM Bois;;;BOULEVARD D ALGERIE;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.397149498904863, 48.88233042709574], ""type"": ""Point""}";48.88233042709574, 2.397149498904863
450072651;FONTAINE_BOIS;Particulier;126;;RUE DE BAGNOLET;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.404864499757201, 48.86063094771795], ""type"": ""Point""}";48.86063094771795, 2.404864499757201
450072654;FONTAINE_BOIS;Particulier;;;JARDIN CASQUE D OR;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.4013572549083473, 48.854244627424215], ""type"": ""Point""}";48.854244627424215, 2.4013572549083473
450070466;FONTAINE_BOIS;Ville de Paris Bois;;;ROUTE DE LA MUETTE A NEUILLY;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.265142630468662, 48.868581315703295], ""type"": ""Point""}";48.868581315703295, 2.265142630468662
450077085;FONTAINE_BOIS;Particulier;4;;PLACE JACQUES MARETTE;PARIS 15EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3011069732248997, 48.8314116783982], ""type"": ""Point""}";48.8314116783982, 2.3011069732248997
450077662;FONTAINE_BOIS;Wallace Bois;;;LIEU DIT CARTOUCHERIE;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.4486463596412813, 48.837336009200655], ""type"": ""Point""}";48.837336009200655, 2.4486463596412813
450077666;FONTAINE_BOIS;Wallace Bois;;;PARC FLORAL;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.4408366701487147, 48.83859246935667], ""type"": ""Point""}";48.83859246935667, 2.4408366701487147
450077679;FONTAINE_BOIS;;;;RUE DE LA SOLIDARITE;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.388895817272231, 48.884617242384934], ""type"": ""Point""}";48.884617242384934, 2.388895817272231
